vid,occlusion_accuracy,survival,median_traj_error,pts_within_1,jaccard_1,pts_within_2,jaccard_2,pts_within_4,jaccard_4,pts_within_8,jaccard_8,pts_within_16,jaccard_16,average_jaccard,average_pts_within_thresh,num_frames,num_points
11,0.8531459170013387,98.69696969696969,1.6750551291797025,0.39767663908338635,0.2497250824502924,0.6853914704010184,0.5178484700682554,0.8733290897517505,0.7297633871966565,0.9661043921069382,0.824164599325235,0.9866327180140039,0.8252299604576975,0.6293462998996274,0.7818268618714195,250.0,30.0
12,0.850334672021419,98.2145386174395,3.3998953556035842,0.3161736457933154,0.1843767949242531,0.6461774875144064,0.4535457492663829,0.8398002305032655,0.6517141940641278,0.8828275067230119,0.6879502290949655,0.9118325009604302,0.7089341951418971,0.5373042324983253,0.7193622742988859,250.0,30.0
13,0.8123528597147209,90.41800288728487,8.474132053240744,0.07598393574297188,0.042450246481426854,0.34473895582329317,0.2286421346859649,0.5452208835341366,0.4071472581137218,0.7545381526104418,0.5822363862294254,0.8621686746987952,0.7086637736482622,0.3938279598317603,0.5165301204819277,250.0,29.0
14,0.7757697456492637,93.89880747166788,4.920175105195741,0.33426524550061154,0.2202929364256682,0.6175082998427398,0.4847657372111575,0.7730211427572952,0.6167449138314953,0.8909662764284466,0.6762940125464394,0.9346496592696139,0.6994571474421027,0.5395109494913727,0.7100821247597413,250.0,30.0
15,0.8038821954484605,97.42971887550202,3.177564546852454,0.3135902636916836,0.18719458712101308,0.6115618661257607,0.3919494637296974,0.7630831643002028,0.5250281666626383,0.8908722109533469,0.6241001027384127,0.9665314401622718,0.7112154595067337,0.48789755595169904,0.7091277890466532,250.0,30.0
16,0.8781793842034806,99.62719298245614,2.1533226288967,0.37417530631479734,0.22626763246032522,0.7079798931825322,0.5327614962434165,0.8829720389569589,0.7514293492034536,0.9346528432296576,0.7921716115347301,0.9547596606974552,0.8085465278593552,0.6222353234602561,0.7709079484762802,250.0,30.0
17,0.908433734939759,91.61616597521704,6.25529311174922,0.2888945104983557,0.17789672541279963,0.5001264862130028,0.344232842194712,0.7100935997976221,0.5385564465271321,0.7629648368327853,0.5652719664089388,0.7971161143435366,0.591914893491082,0.4435745748069329,0.6118391095370604,250.0,30.0
18,0.8738955823293173,100.0,3.7531908301923633,0.4631320224719101,0.29375069619096017,0.7496488764044944,0.5807812711881337,0.8867626404494382,0.7658506916883304,0.9306530898876404,0.8195206014696035,0.9655898876404494,0.8195206014696035,0.6558847724013264,0.7991573033707864,250.0,30.0
19,0.7062918340026774,96.36870060888715,6.7249129187575285,0.21990521327014217,0.12828121431998615,0.47696682464454976,0.3100980651590116,0.7129857819905213,0.47420220690811177,0.8384834123222749,0.5303405571934457,0.9008530805687204,0.5782247764083294,0.4042293639977769,0.6298388625592416,250.0,30.0
20,0.8088907353552139,99.97621878715815,1.4805088183984876,0.43489767113620326,0.27945959466106335,0.7672900494001411,0.5779080529808842,0.8736767819336627,0.659042984483529,0.9525405786873676,0.7537722906800801,0.995059985885674,0.7588993979778332,0.605816464156678,0.8046930134086099,250.0,29.0
21,0.9061579651941097,100.0,1.1778869436945172,0.6306769494430163,0.4854347586583011,0.8179091688089117,0.7351052900956464,0.855327049414453,0.7761566770798952,0.9024564410168523,0.8096959956060404,0.9675806912310768,0.8543982433299852,0.7321581929539737,0.8347900599828619,250.0,30.0
22,0.8380187416331994,92.547481946319,6.974880428427947,0.42991211082973335,0.290125343901954,0.6785341873975868,0.5501408105117985,0.8027707433338299,0.7075802534788804,0.8978102189781022,0.7610237862343825,0.9226873231044243,0.7716204868777469,0.6160981362009526,0.7463429167287352,250.0,30.0
23,0.8689424364123159,100.0,3.3792509660737617,0.38503866745984533,0.24829089465488052,0.6466389054134444,0.5061566048408659,0.8187091017251636,0.7237652208614358,0.9015466983938132,0.8039805268035537,0.9549375371802499,0.8293887032337173,0.6223163900788906,0.7413741820345032,250.0,30.0
24,0.8218206157965194,99.60713376923674,3.2387205232917187,0.48077926595929726,0.3123938879103119,0.6467211688989389,0.4690231850412995,0.7566533310140894,0.5859663519920714,0.8700643590189598,0.6922066548902208,0.9474691250652287,0.7653775881904115,0.564993533604863,0.7403374499913029,250.0,30.0
25,0.8061579651941098,94.60095890168603,9.555712421579218,0.2761789965345789,0.16512025942121247,0.6062980262166642,0.4465943406278275,0.7162874792828084,0.5361045130004626,0.8089498267289438,0.5833027297608884,0.8339611270152177,0.5999505194705652,0.46621447245619124,0.6483350911556427,250.0,30.0
26,0.805756358768407,97.49010132928068,4.018606684856941,0.261680582696749,0.15601544068668075,0.47894830342867295,0.32265979630442154,0.6951501154734411,0.5223100818240172,0.8404689998223486,0.6302737032163506,0.9211227571504708,0.6855847403555996,0.4633687524774139,0.6394741517143364,250.0,30.0
27,0.8460508701472557,99.66666666666666,1.6566026103722495,0.370805023677167,0.2170853051550679,0.6831377393452749,0.46637426893766454,0.9271155033971588,0.7364958447478366,0.9862054766316657,0.7789996451261085,0.9964998970557958,0.7917113253319558,0.5981332778597268,0.7927527280214124,250.0,30.0
28,0.9520749665327979,100.0,1.5183852131500908,0.5831425300515168,0.4104139389253284,0.8115340583858043,0.6801439711241578,0.909129937034917,0.8298706388566743,0.9210074413279908,0.8499339496895728,0.9504865483686319,0.8870772131940334,0.7314879423579533,0.8350601030337721,250.0,30.0
29,0.8440428380187416,94.80483641906031,4.663803727086826,0.25829504849412965,0.15628610438438334,0.5005955419431682,0.3532882605589074,0.7731835970733367,0.6542449285267851,0.9147524247064829,0.7839896287823708,0.9380636379104985,0.7921211133335306,0.5479860071171954,0.6769780500255231,250.0,30.0
30,0.9140562248995984,98.67671691792295,2.226195799472477,0.3936522262334537,0.2398249045133813,0.6716305655836342,0.48339647866242513,0.8537906137184116,0.7018665302094264,0.950812274368231,0.8391820943853022,0.980595667870036,0.8751936891287232,0.6278927393798517,0.7700962695547533,250.0,30.0
31,0.8453815261044176,96.57341229324075,3.950979641933613,0.24194775551610448,0.15029453906220433,0.5325893989348212,0.3982968839949106,0.7656606644686786,0.6152470376447021,0.8856200862287599,0.6956113586727032,0.9185899061628202,0.7128971074649366,0.5144693853678914,0.6688815622622368,250.0,30.0
32,0.8121820615796519,94.72494575815001,8.461508890936022,0.3323076923076923,0.20762167123896955,0.5800732600732601,0.42326839822259,0.6936263736263736,0.5170146498423099,0.8104029304029304,0.5903978714971099,0.8927472527472528,0.6795657725824309,0.483573672676682,0.6618315018315019,250.0,30.0
33,0.7855421686746988,93.3719794653559,7.2045274258858445,0.19984959578868208,0.10992366411015009,0.41173152848279754,0.25159862269409755,0.6709907877420568,0.4712344607587114,0.8103026884752773,0.5584137190999213,0.8826847151720248,0.5928012518634114,0.39679434370525835,0.5951118631321677,250.0,30.0
